"PLANET_IDX","P_NAME","star_code","relative mass (earth)","Density (Earth)","RELATIVE RADIUS","TERRAIN TYPE","TYPE_CLIMATE"
239,"Cryptic Mirage Olympios",557,0.81,1.293,0.86,"forest|rocky island","artificial temperate|humid|rocky|frigid"
240,"Cryptic Mirage Harpian",557,4.46,1.052,1.62,"cliff","windy|artic|frozen"
241,"Infinity Iris Octal",116,1.86,0.956,1.25,"toxic cloudsea|ice cave","artic|rocky|humid"
242,"Infinity Iris Undecimal",116,4.77,1.066,1.65,"scrubland|valley","hot|frozen|tropical|subartic|arid|rocky"
243,"Infinity Iris Quartal",116,1.26,1.082,1.05,"island","subartic|frigid"
244,"Infinity Iris Secant",116,6.51,0.988,1.87,"island|ice canyon","frozen|subartic|artificial temperate|humid|arid|rocky"
245,"Acrab Shi",5221,5.86,1.129,1.73,"volcano","tropical|superheated|temperate|artificial temperate|subartic|hot"
246,"Acrab Wu",5221,3,0.685,1.64,"rocky island|glacier|river|island|cliff|acid pool","rocky|frigid|frozen|arid|hot|windy|subartic"
247,"Acrab Ba",5221,5.32,0.843,1.85,"jungle","rocky|hot"
248,"Acrab Liu",5221,5.55,1.367,1.6,"desert","frigid|humid|superheated|hot|windy"
249,"Quasar Nova Beta",1376,2.56,1.277,1.26,"lakes|rock arche|savanna","rocky|frozen|hot|arid|artic|windy"
250,"Fomalhaut Nymphios",7212,1.07,0.811,1.1,"ice canyon","windy|frozen|superheated"
251,"Fomalhaut Dionian",7212,1.09,1.159,0.98,"vine|river|tundra|desert|glacier","artic|temperate|rocky"
252,"Fomalhaut Nereidos",7212,3.88,1.123,1.51,"rocky desert|verdant","subartic|rocky|humid|temperate|hot|tropical"
253,"Fomalhaut Museios",7212,4.67,1.09,1.62,"rocky island|plateau|island","artificial temperate|humid|superheated|hot"
254,"Fomalhaut Persephonian",7212,8.13,1.284,1.85,"plain|vine","rocky|artic"
255,"Frostbinder XIV",400,1.89,0.815,1.32,"jungle|cliff","tropical|temperate|windy|arid"
256,"Frostbinder XI",400,2.35,0.816,1.42,"swamp|river|tundra|sinkholes|acid pool","humid|superheated|subartic"
257,"Frostbinder XXII",400,5.22,0.809,1.86,"valley","tropical|arid"
258,"Nebulous Silence Er",275,0.51,1.051,0.79,"cityscape|canyons","temperate"
259,"Enigmatic Abyss Oranos",1456,1.55,0.898,1.2,"field","temperate|tropical"
260,"Enigmatic Abyss Hestian",1456,1.49,1.049,1.12,"rocky canyon|lava river|mountain|swamp","arid|windy|humid|superheated|temperate|tropical"
261,"Adhil Qi",5402,4.83,0.67,1.93,"rainforest|rock arche|valley|hill","rocky|superheated|humid|hot"
262,"Cosmoth Yi",6977,3.51,0.755,1.67,"barren","artificial temperate|arid|frozen|hot|windy"
263,"Cosmoth Qi",6977,0.8,1.353,0.84,"field|cliff","subartic|artic|hot"
264,"Cosmoth Wu",6977,2.55,0.803,1.47,"ice canyon","rocky|subartic|windy"
265,"Cosmoth Si",6977,1.59,0.875,1.22,"rocky desert|vine|rocky canyon|sea|valley|swamp|mountain|reef","rocky|arid|superheated|tropical|artic|frigid"
266,"Liesma Aphroditos",6824,6.45,0.794,2.01,"valley|rainforest|forest","artic|humid|rocky"
267,"Liesma Hestian",6824,2.28,0.996,1.32,"savanna|cliff|jungle|hill|canyons","hot|arid|tropical|rocky"
268,"Astroth San",2122,2.59,1.357,1.24,"lakes|hill|fungus forest|lava river|sea|volcano","rocky|hot|superheated|arid|artificial temperate"
269,"Astroth Yi",2122,7.96,1.203,1.88,"verdant|toxic cloudsea","windy|frozen"
270,"Astroth Liu",2122,5.13,1.158,1.64,"field|cave|vine|river|plain|valley|verdant","frigid|temperate|arid|superheated|frozen"
271,"Diadem Prime",9039,2.24,1.223,1.22,"rocky desert|reef|rock arche|rainforest|desert|mountain","hot|superheated|arid|temperate"
272,"Diadem Secant",9039,1.45,0.915,1.17,"lakes|swamp|plain|lava river","frigid|arid|tropical|artic|temperate|hot"
273,"Diadem Vigesimal",9039,7.41,0.849,2.06,"reef","frozen|rocky|frigid|humid|artic"
274,"Astrum Cryptic Astraeos",3110,2.19,1.415,1.16,"verdant|plain|ice canyon|river|grassy hill|barren","frozen|arid|artic|temperate"
275,"Astrum Cryptic Museios",3110,1.91,0.435,1.64,"ice canyon|ice cave","subartic|windy"
276,"Astrum Cryptic Janusian",3110,9.31,1.222,1.97,"cityscape|river|cliff","artificial temperate|hot"
277,"Horus' Gaze Nyxios",4047,0.94,1.096,0.95,"acid pool|fungus forest|field|sea|cave|valley","artificial temperate|temperate|artic|humid|frozen|tropical"
278,"Fafnir Liu",9236,1.26,1.005,1.08,"hill|mountain","rocky|arid|superheated|frigid|artificial temperate|subartic"
279,"Fafnir Er",9236,3.21,1.115,1.42,"valley|river|rock arche","subartic|artic"
280,"Celestros IX",8762,0.75,1.145,0.87,"mountain|ash|barren|tundra|fungus forest|sea|ocean","arid|subartic|frozen|rocky|hot"
281,"Dschubba Tau",2782,2.67,0.902,1.44,"field","artificial temperate|frozen|subartic|humid"
282,"Azha XVIII",7755,4.13,0.758,1.76,"glacier|jungle|rocky desert","frigid|temperate|windy|artificial temperate|tropical|arid"
283,"Azha VI",7755,2.96,0.8,1.55,"bog|valley|cityscape|lakes|volcano|ice cave|ice canyon|jungle|grassland","hot|subartic|rocky|temperate|artificial temperate|frozen"
284,"Azha XIX",7755,2.34,1.13,1.27,"city|ocean","tropical"
285,"Lurking Whispers Sirenios",3677,0.76,0.396,1.24,"ice canyon|ice cave|ocean|grassy hill|hill|rocky island","artic|frigid|windy|temperate|humid"
286,"Ginan IV",8568,2.43,0.873,1.41,"mountain|urban|cityscape","superheated|frozen"
287,"Ginan XVI",8568,8.41,0.679,2.31,"toxic cloudsea","frozen|artic|subartic|windy"
288,"Ginan XIII",8568,8.15,0.967,2.03,"grassy hill|desert|island|fungus forest|plain","superheated|artificial temperate|windy|tropical"
289,"Aegis Obscura Zephyrian",1161,3.62,0.974,1.55,"ice cave|rock arche","artic|subartic|windy|tropical|rocky|frozen"
290,"Lerna Vigesimal",7280,6.11,0.588,2.18,"lakes|verdant|volcano|cliff","frozen|artificial temperate|hot|tropical|arid"
291,"Lerna Tertial",7280,7.79,0.995,1.99,"plateau|valley|cliff","arid|windy|artic"
292,"Lerna Septimal",7280,3.87,1.059,1.54,"canyons|verdant","hot|windy|artic|temperate"
293,"Lerna Nonal",7280,7.92,1.24,1.86,"plateau|grassy hill|ice cave|canyons|verdant|plain|cliff","frozen|frigid|artic|temperate|windy|artificial temperate"
294,"Barnard's Star XXIV",8539,8.3,0.551,2.47,"valley","temperate|artic|arid"
295,"Sakura's Silence Museios",7564,3.09,0.593,1.73,"rock arche|glacier","subartic|temperate|humid|windy"
296,"Brachium Er",2298,0.69,1.002,0.88,"grassland|ocean|cave|savanna|hill|forest|tundra|jungle|canyons","arid|frigid|artic|artificial temperate|rocky|temperate|superheated"
297,"Brachium Liu",2298,1.24,0.942,1.1,"valley|swamp|glacier|city","tropical|frozen|arid|windy|artic|temperate"
298,"Veritate Nu",4561,8.5,1.145,1.95,"cliff|plain|river","artificial temperate|superheated|arid|hot|windy"
299,"Veritate Xi",4561,3.87,0.984,1.58,"ice cave|hill|acid pool|lava river","frozen|superheated|frigid"
300,"Stellae Abyss Irisian",2302,2.92,0.728,1.59,"vine|sinkholes|volcano","subartic|artificial temperate|superheated|temperate"
301,"Obelisk Shadows Pi",7051,1.02,1.345,0.91,"bog|rocky island|lava river|ice cave|ash|savanna|rocky canyon|tundra|mountain","subartic|arid|artificial temperate|hot|temperate|tropical"
302,"Cleopatra's Resonance Eta",6261,1.3,1.007,1.09,"","windy"
303,"Cleopatra's Resonance Omicron",6261,2.82,1.248,1.31,"fungus forest|jungle|scrubland","rocky|hot|subartic|humid|frozen|arid"
304,"Cosmosis XXIV",2949,2.17,1.308,1.18,"urban","temperate|superheated|artic|subartic"
305,"Atria Nemesisian",6986,7.58,1.229,1.83,"urban|cityscape","rocky"
306,"Atria Astraeos",6986,2.57,0.85,1.45,"ice canyon|bog|valley|sea|rocky desert|cave|rock arche|glacier|urban|mountain","temperate|artic|frigid|superheated|subartic|humid|frozen"
307,"Cor Caroli VI",3313,1.27,0.733,1.2,"hill","superheated|tropical|frigid"
308,"Darkonium Olympus",2966,5.5,1.018,1.75,"mountain|plain|rocky island","hot|artificial temperate"
309,"Celestial Serenity Lambda",1845,7.68,1.008,1.97,"bog|urban|savanna|cityscape","tropical|artic|humid"
310,"Celestial Serenity Psi",1845,8.66,0.771,2.24,"ash|jungle|rock arche|glacier|swamp|plain","artificial temperate|superheated|tropical|temperate|subartic"
311,"Celestial Serenity Iota",1845,6.18,0.831,1.95,"rocky island","tropical|humid|arid"
312,"Celestial Serenity Rho",1845,1.67,0.829,1.26,"cityscape","subartic"
313,"Celestial Serenity Phi",1845,7.7,0.842,2.09,"vine","tropical|temperate"
314,"Obsidian Whispers I",1182,5.65,0.775,1.94,"ice cave|ocean|toxic cloudsea|jungle","windy|rocky|hot|arid|artic"
315,"Obsidian Whispers X",1182,1.21,0.723,1.19,"rocky island|river|ash","frozen|artificial temperate|humid|subartic|hot"
316,"Bonsai Silence San",9998,3.77,1.306,1.42,"urban|cliff|river|swamp","humid|artificial temperate|tropical|hot|superheated"
317,"Bonsai Silence Shi",9998,2.2,0.748,1.43,"","windy"
318,"Nebulae Cipher Prime",6499,0.78,1.084,0.9,"mountain","tropical|frigid|windy|rocky"
319,"Kraz Hecatean",6617,2.98,0.892,1.49,"acid pool|reef|city|volcano|jungle|cityscape","artificial temperate|hot|frozen|tropical"
320,"Kraz Nemesisian",6617,1.75,0.827,1.28,"mountain|cave|cliff","frigid|tropical"
321,"Kalausi Tritonian",167,1.78,1.256,1.12,"jungle|rock arche","subartic|humid"
322,"Nebularian Er",1181,0.9,0.989,0.97,"glacier|tundra|cave|rock arche|rainforest|grassy hill","hot|artificial temperate|temperate|artic|humid"
323,"Oakenshield Hermesios",6024,0.49,0.804,0.85,"cityscape|jungle|volcano|mountain|plain","rocky|arid|temperate|windy|subartic|hot"
324,"Uchū Liu",240,2.39,0.62,1.57,"cityscape|mountain|tundra|jungle|verdant","frozen|superheated|subartic|windy"
325,"Uchū San",240,5.3,1.069,1.71,"rocky island|city|sea|ocean|plain","frigid|artic|rocky"
326,"Arcadian Whispers Sirenios",9688,2.88,0.876,1.49,"barren|mountain|city|hill|rocky desert|vine","temperate|rocky|frozen|artic|subartic|arid"
327,"Arcadian Whispers Hadean",9688,8.08,0.924,2.06,"island|forest|city|plateau","hot|frozen|rocky|frigid|temperate"
328,"Ninja's Radiance Typhonian",2992,0.44,0.916,0.78,"desert|lava river|mountain|volcano|city|river","temperate|artificial temperate|frozen|frigid|superheated"
329,"Hamal Tau",5048,2.35,0.999,1.33,"field|rocky canyon|rock arche|cliff|island|toxic cloudsea|jungle|cave","artic|temperate|humid|tropical|artificial temperate|frigid"
330,"Stellaria Whimsy Delta",6031,4.44,1.148,1.57,"bog","superheated|humid|frigid|artificial temperate|hot"
331,"Orion's Gaze XXII",2477,9.41,1.001,2.11,"canyons|plateau|rocky island","frigid|rocky|artic|windy"
332,"Tamashī Labyrinth Qi",9495,7.28,1.182,1.83,"city","hot|tropical|humid|frozen"
333,"Tamashī Labyrinth Shi",4071,3.97,1.225,1.48,"plateau|ocean","artic|hot|superheated|windy"
334,"Tamashī Labyrinth San",9495,7.29,1.236,1.81,"cave|volcano|rock arche","superheated|artificial temperate|frigid"
335,"Tianguan XI",3930,6.96,1.051,1.88,"ocean|tundra","frigid"
336,"Caelus Cipher Olympus",5967,6.88,0.75,2.09,"island|bog|urban|mountain","artic|frozen|tropical"
337,"Caelus Cipher Dionian",5967,1.71,0.826,1.27,"desert|rocky canyon|ash","hot|artificial temperate"
338,"Caelus Cipher Sirenios",5967,1.77,1.19,1.14,"forest|ocean|swamp|cityscape","superheated|humid|temperate|windy"
339,"Caelus Cipher Herculean",5967,3.63,0.691,1.74,"forest|field|rocky island|rock arche|desert|toxic cloudsea","frigid|tropical|artic|rocky|windy"
340,"Quantraflux Shi",8251,1.96,0.862,1.32,"canyons|swamp|urban|grassy hill|reef|savanna|forest","temperate|artic|humid|frigid|rocky"
341,"Quantraflux Er",8251,2.6,0.957,1.4,"river|verdant|mountain|plain|bog","hot|humid|frigid|subartic|artificial temperate"
342,"Starshara IV",9698,3.84,0.7,1.76,"ice cave|savanna|vine|fungus forest|field|rocky canyon","humid|hot|subartic|windy|arid"
343,"Exoplantra Qi",9422,4.75,1.046,1.66,"cityscape","frozen|arid|frigid"
344,"Exoplantra Shi",9422,6.14,1.004,1.83,"hill","artic"
345,"Alshain Centaurios",5972,8.88,0.979,2.09,"rocky canyon|cityscape|forest","tropical|subartic"
346,"Elnath Hermesios",7679,1.27,0.588,1.29,"savanna|volcano","rocky|tropical|superheated|subartic|hot"
347,"Elnath Chimeraean",7679,1.48,1.1,1.1,"field|reef","humid|artic|temperate"
348,"Elnath Aphroditos",7679,1.35,1.345,1,"urban|field|hill|acid pool|verdant|lava river|vine","superheated|artic|tropical|frozen|arid"
349,"Elnath Gaian",7679,5.51,0.81,1.9,"mountain|ash|fungus forest","rocky|hot|humid|frozen|subartic"
350,"Elnath Helios",7679,5.23,0.742,1.92,"plateau|verdant|acid pool|cityscape|valley","humid|arid|frigid|temperate|windy"
351,"Igniflux Artemian",3048,1.73,0.752,1.32,"lakes|river|vine","artificial temperate|subartic"
352,"Alphard Tritonian",1721,2.64,1.216,1.3,"mountain|bog|barren|volcano|city|ocean","artificial temperate|temperate|subartic|arid|frigid"
353,"Algedi Eosian",2841,1.95,1.125,1.2,"grassy hill|acid pool|mountain|vine","frozen|frigid|humid"
354,"Algedi Dionysios",2841,1.47,0.883,1.19,"toxic cloudsea|cliff|rocky canyon","frozen|artic|arid"
355,"Aurum Obscura Septimal",8790,1.26,0.88,1.13,"tundra","arid|rocky|hot"
356,"Aurum Obscura Prime",8790,1.21,1.163,1.01,"forest|field|river","humid|temperate|frozen|artic"
357,"Aurum Obscura Octal",8790,1.85,1.115,1.18,"acid pool|savanna|sea|tundra","humid|frozen|arid"
358,"Aurum Obscura Duodecimal",8790,5.68,1.247,1.66,"jungle","windy|temperate|hot|artificial temperate"
359,"Aurum Obscura Secant",8790,2.3,1.109,1.28,"forest|savanna|desert|river","subartic|superheated|rocky"
360,"Chalawan XIX",3017,3.36,1.126,1.44,"barren|glacier|mountain|plain|island|city","arid|artificial temperate|artic|superheated"
361,"Chalawan XI",3017,1.05,0.906,1.05,"savanna|urban|glacier|rocky island","temperate|arid|frozen|subartic"
362,"Wolfheart Mu",5884,2.9,0.898,1.48,"verdant","frigid|windy|subartic|rocky|hot"
363,"Wolfheart Kappa",5884,2.07,0.593,1.52,"urban|rocky desert|jungle","artic|frigid|artificial temperate|hot|subartic"
364,"Nebulonara XXIV",4479,3.94,1.207,1.48,"island|savanna","hot|artificial temperate|temperate|superheated"
365,"Nebulonara VII",4479,6.35,1.369,1.67,"ash|mountain","hot|frozen"
366,"Nebulonara I",4479,5,1.062,1.68,"jungle","hot|arid|artificial temperate|subartic"
367,"Nebulonara XVII",4479,4.17,1.659,1.36,"urban|ice cave","artificial temperate|temperate|subartic|rocky"
368,"Nebulonara XV",4479,6.96,1.039,1.89,"rocky island|toxic cloudsea|forest|ash|reef|jungle","humid|artic|hot|windy|tropical"
369,"Prima Hyadum Prime",5665,1.44,0.587,1.35,"glacier","windy"
370,"Prima Hyadum Undecimal",5665,8.19,1.326,1.83,"cliff|fungus forest","artificial temperate|subartic|humid|windy|temperate"
371,"Prima Hyadum Sextant",5665,2.96,0.977,1.45,"hill|field|acid pool","hot|tropical|artificial temperate|humid|temperate"
372,"Prima Hyadum Septimal",5665,8.55,0.864,2.15,"plain|rocky island","frigid|temperate"
373,"Prima Hyadum Octal",5665,0.58,1.028,0.83,"tundra|grassy hill","frigid|subartic|temperate|windy|artificial temperate"
374,"Etherion Duodecimal",4518,8.97,0.888,2.16,"cave|hill|ocean|ash|bog|sea","superheated|humid|hot|tropical"
375,"Etherion Sextant",4518,8.13,0.732,2.23,"sinkholes|ice canyon|toxic cloudsea|desert|cityscape|vine","temperate|artificial temperate|subartic|frozen|superheated|windy"
376,"Macondo Secant",3714,2.53,1.242,1.27,"cave|river|sinkholes","superheated|hot"
377,"Macondo Decimal",3714,7.4,0.702,2.19,"volcano|jungle|vine|acid pool","artificial temperate|arid|rocky|temperate|frigid|tropical"
378,"Macondo Sextant",3714,8.76,0.823,2.2,"jungle|rock arche|cityscape","tropical|frigid"
379,"Macondo Septimal",3714,4.99,0.898,1.77,"rock arche|plain|acid pool","subartic|rocky|superheated|arid"
380,"Macondo Octal",3714,6.25,1.128,1.77,"savanna|sinkholes","frozen|windy|superheated"
381,"Etherios Zephyrian",5280,8.48,0.796,2.2,"lava river|rainforest|field|urban|plateau","artificial temperate|superheated|rocky|subartic"
382,"Etherios Cerberian",5280,3.51,0.994,1.52,"savanna","superheated|frigid|windy|tropical|subartic|artificial temperate|artic"
383,"Etherios Nemesisian",5280,2.36,1.011,1.33,"sinkholes|hill|cave","superheated|hot"
384,"Asterion Abyss XXI",3572,6.7,0.938,1.93,"ice cave|hill","subartic"
385,"Asterion Abyss XVIII",3572,1.16,1.145,1,"urban|glacier|ocean|vine","temperate|rocky|frozen"
386,"Asterion Abyss XVI",3572,6.54,0.719,2.09,"rocky desert|bog|scrubland|rainforest|cave|city","tropical|artificial temperate|frigid|superheated|frozen|arid"
387,"Yami Silence XX",9483,5.48,0.949,1.79,"urban|rocky canyon|cave|verdant|valley|rocky desert|desert|barren","windy|artificial temperate|rocky|superheated|subartic|tropical|arid"
388,"Yami Silence XI",9483,4.23,1.342,1.47,"ice cave","superheated|subartic"
389,"Yami Silence XII",9483,5.36,1.215,1.64,"rock arche|savanna|river","rocky|windy|frigid"
390,"Nocturne Echo XIII",4180,1.13,1.236,0.97,"canyons|desert|rocky canyon|plain","tropical|artificial temperate|frozen|rocky"
391,"Vortexion Sigma",3671,7.41,0.906,2.01,"city|savanna|hill|sea|mountain","hot|windy|subartic|frozen"
392,"Vortexion Kappa",3671,1.11,1.425,0.92,"verdant|desert|cityscape","tropical|rocky"
393,"Vortexion Rho",3671,2.47,1.293,1.24,"valley|ocean","frigid|subartic"
394,"Vortexion Eta",3671,3.31,1.144,1.42,"plain|cave|vine","humid|subartic"
395,"Solaris Nyxios",3351,3.06,0.934,1.49,"rock arche","subartic|frozen|windy|frigid"
396,"Vega Titanos",9400,2.75,1.54,1.21,"ice cave|island|bog|mountain|valley|rocky canyon","tropical|superheated|subartic|frigid"
397,"Vega Oranos",9400,9.45,0.769,2.31,"ash|glacier|valley|grassland","subartic|temperate|hot|artificial temperate"
398,"Vega Nyxios",9400,1.12,1.293,0.95,"savanna|ice canyon|cave|toxic cloudsea|ash|lava river","artificial temperate|hot|windy|temperate|frozen|subartic"
399,"Vega Hadean",9400,3.72,1.12,1.49,"city|hill|swamp|glacier|valley|ice cave|volcano|desert","hot|humid|temperate|windy|arid|subartic"
400,"Vega Sirenios",9400,3.45,0.983,1.52,"acid pool|tundra|ocean|valley","temperate|frigid|subartic|windy|artificial temperate|rocky"
401,"Orion's Haven XXIII",2029,8.2,0.316,2.96,"grassland","artic|humid|temperate|subartic"
402,"Pyramid Radiance Gamma",9811,2.97,0.945,1.46,"river","arid|frigid|artificial temperate|temperate|artic|windy"
403,"Pyramid Radiance Epsilon",9811,5.78,0.642,2.08,"tundra|cliff|sinkholes|mountain|jungle|hill","hot|frozen|rocky|tropical"
404,"Clandestine Nebula XX",8463,5.06,1.438,1.52,"bog|hill|acid pool|sea","temperate|superheated|subartic"
405,"Clandestine Nebula XII",8463,2.32,1.002,1.32,"vine|ice canyon|grassy hill|fungus forest|swamp|rocky desert","temperate|subartic|humid|artificial temperate"
406,"Penumbrion Echoian",4951,0.56,0.952,0.84,"rock arche|urban|ice cave|reef|field|city|lakes","superheated|subartic|artificial temperate|humid|frozen|artic"
407,"Helixar Aetherios",9988,8.03,1.214,1.88,"cave|hill|cliff|grassland","temperate|frozen|humid"
408,"Galaxix Liu",5372,7.59,0.965,1.99,"jungle","rocky|artic|frigid|tropical"
409,"Galaxix Yi",5372,2.32,0.95,1.35,"","windy"
410,"Galaxix Er",5372,6.67,1.153,1.79,"toxic cloudsea|verdant|reef|plateau|rocky desert","tropical|windy|rocky|frozen"
411,"Galaxix Qi",5372,5.51,0.868,1.85,"plain|scrubland|cliff","tropical|artificial temperate|hot|arid"
412,"Galaxix Shi",5372,0.84,1.122,0.91,"field","frigid|temperate|artic|tropical"
413,"Radiancea Shi",9318,1.67,1.158,1.13,"lakes","temperate"
414,"Radiancea Er",9318,2.42,1.236,1.25,"sea","hot|frozen"
415,"Radiancea San",9318,7.4,NA,2.12,"reef","frozen|tropical|superheated"
416,"Ankh Seraph San",1365,0.35,0.763,0.77,"ash|lava river|ice canyon|valley|river|swamp","frozen|windy|humid|tropical|temperate|superheated|artificial temperate"
417,"Ankh Seraph Shi",1365,7.77,1.211,1.86,"island|glacier|canyons","artificial temperate|subartic|rocky|hot|tropical|humid|windy"
418,"Ankh Seraph Jiu",1365,1.44,0.659,1.3,"rocky island|ice cave","frozen|humid|temperate|frigid"
419,"Ankh Seraph Yi",1365,4.49,0.637,1.92,"cave|plain|cityscape|desert","tropical|subartic|humid|superheated"
420,"Ankh Seraph Si",1365,3.45,0.476,1.94,"barren|lakes|rocky desert|plateau|valley|cityscape|cave|ice cave|savanna","artificial temperate|arid|tropical|frozen|subartic|rocky|hot"
421,"Menkent Irisian",9953,9.21,1.073,2.05,"mountain|ice canyon","frozen|tropical|rocky|artificial temperate"
422,"Achird Janusian",225,1.88,0.905,1.28,"rock arche|toxic cloudsea|hill","artificial temperate|superheated|artic|humid|windy"
423,"Nervia III",1493,3.56,1.075,1.49,"grassland|vine|cliff|jungle|sea|tundra","frigid|tropical|humid|windy|frozen"
424,"Nervia VIII",1493,0.78,0.813,0.99,"bog|mountain|grassy hill|lakes|ice cave","arid|tropical|temperate|subartic"
425,"Nervia I",1493,6.71,0.792,NA,"plain|fungus forest|vine","hot|subartic"
426,"Nervia V",1493,3.52,0.828,1.62,"ash|rocky canyon|cave|rocky desert","tropical|frozen|subartic|hot|arid|humid"
427,"Nervia XXI",1493,0.48,0.87,0.82,"cliff|island|valley|reef","superheated|artificial temperate|humid|frozen"
428,"Horus' Resonance Delta",588,5.61,1.169,1.69,"grassland|plain|bog|ocean","temperate|tropical|hot|artificial temperate|frigid|subartic"
429,"Horus' Resonance Phi",588,0.75,NA,0.94,"vine","artificial temperate|tropical"
430,"Vortexith Zeta",5074,7.16,NA,1.73,"canyons|field|reef|jungle|sea|valley","arid|tropical|frozen|artic|superheated|frigid"
431,"Vortexith Rho",5074,0.78,0.679,1.05,"rocky desert|acid pool|urban|rainforest","subartic|frigid|superheated|humid|frozen"
432,"Vortexith Mu",5074,6.78,0.669,2.16,"city","tropical"
433,"Vortexith Omicron",5074,2.23,1.279,1.2,"glacier","hot|rocky|subartic|temperate"
434,"Astrophia Omicron",6010,2,1.316,1.15,"lava river","humid|superheated"
435,"Cassioth Aetherios",5880,1.72,1.158,1.14,"rock arche","subartic"
436,"Lilii Borea Psi",6124,5.62,0.868,1.86,"ice canyon|toxic cloudsea|lakes|glacier|valley|urban","subartic|temperate|humid|windy|artic|hot"
437,"Lilii Borea Delta",6124,4.7,0.755,1.84,"tundra|acid pool|ocean|sea","humid|arid|tropical|windy|frigid|frozen|hot"
438,"Lilii Borea Lambda",6124,4.51,0.925,1.7,"ice canyon|reef|acid pool","frigid|superheated"
439,"Lilii Borea Iota",6124,1.95,1.15,1.19,"hill|rocky desert|verdant|rocky island|lakes|valley|volcano|reef","temperate|artic|arid|superheated|rocky"
440,"Lilii Borea Xi",6124,1.53,0.947,1.17,"plateau","artificial temperate|rocky"
441,"Dìwö Alpha",8912,2.4,0.963,1.36,"ocean|valley|cityscape|city","frozen|tropical|superheated"
442,"Dìwö Delta",8912,8.57,0.831,2.18,"plateau|hill","humid|frigid|temperate|superheated"
443,"Dìwö Eta",8912,2.02,1.177,1.2,"rocky canyon|ocean|reef|ice canyon","superheated|subartic|tropical|windy"
444,"Albireo Septimal",6790,2.7,1.02,1.38,"verdant|rocky desert|grassy hill","arid|artificial temperate|rocky"
445,"Procyon Wu",722,4.13,0.813,1.72,"field|bog|jungle","tropical|artificial temperate|arid|frozen"
446,"Merak III",5295,3.06,1.038,1.43,"urban|tundra|lava river|sea","humid|rocky|superheated"
447,"Komorebi Cascade XIX",3722,4.89,0.878,1.77,"urban|rainforest|glacier|cliff","arid|humid|frozen|windy"
448,"Komorebi Cascade VII",3722,2.14,0.929,1.32,"canyons|swamp|fungus forest","humid|frozen|artificial temperate"
449,"Komorebi Cascade XII",3722,6.3,1.234,1.72,"ice canyon|rocky desert|tundra|lava river","frozen|arid|superheated|temperate"
450,"Komorebi Cascade XXIV",3722,2.43,1.018,1.34,"rock arche","windy|subartic|frigid"
451,"Komorebi Cascade V",3722,3.71,1.277,1.43,"acid pool","superheated|windy|artic|hot"
452,"Maasym Upsilon",3870,1.98,0.845,1.33,"glacier","frigid|artic|temperate"
453,"Bastet's Horizon Nymphios",3596,3.41,1.317,1.37,"verdant","windy|subartic|artificial temperate"
454,"Bastet's Horizon Tritonian",3596,0.37,1.036,0.71,"mountain|vine|rocky island|verdant","artic|subartic|windy|temperate"
455,"Koi's Ascendance Morphean",6561,3.99,0.863,1.67,"acid pool|scrubland","subartic|hot|arid|humid|artificial temperate|frigid"
456,"Quasarlynx Museios",7630,2.08,1.201,1.2,"hill|grassy hill|sinkholes|canyons|savanna|cityscape|river","temperate|artic|frigid|artificial temperate|superheated|frozen"
457,"Miram XXII",2379,1.46,1.362,1.02,"vine|rocky desert|mountain|urban","superheated|humid|hot|arid|frigid|rocky|temperate"
458,"Ainalrami XIII",3481,3.1,0.97,1.47,"rocky desert","subartic|windy|artificial temperate|superheated|artic"
459,"Ainalrami II",3481,1.89,0.759,1.36,"swamp|rocky desert|plain","temperate|humid|superheated"
460,"Ainalrami XIX",3481,3.58,1.188,1.44,"hill|ocean","frigid|rocky|superheated"
461,"Ainalrami XII",3481,1.78,1.09,1.18,"river","frigid|hot|arid|windy|artic|temperate"
462,"Ainalrami XXIII",3481,0.74,0.807,0.97,"cave","artificial temperate"
463,"Spectrion X",6971,1.42,0.858,1.18,"ash|rocky desert|island","superheated|artic|rocky|humid"
464,"Whalecaller Er",3073,6.13,1.269,1.69,"ice canyon|verdant|savanna|valley|ocean|mountain|rocky desert|city","hot|superheated|arid|subartic|rocky|windy"
465,"Whalecaller Liu",3073,4.48,0.861,1.73,"bog","superheated|frigid|humid"
466,"Whalecaller San",3073,2.24,1.329,1.19,"valley|cliff","windy|frozen|superheated|subartic"
467,"Whalecaller Wu",3073,1.21,1.041,1.05,"river|verdant|lakes|jungle","tropical|artificial temperate|hot"
468,"Starglow Haven Duodecimal",3417,2.74,1.238,1.3,"mountain|plateau|hill|sinkholes","artic|subartic|frozen|temperate|superheated|hot|artificial temperate"
469,"Heliosys Athenian",7579,6.47,1.312,1.7,"plain|rocky canyon|jungle","tropical|frigid|artificial temperate"
470,"Samurai's Ember Theta",8410,1.56,1.115,1.12,"jungle","windy|humid|arid|artificial temperate"
471,"Aetherionyx Gaios",8731,7.99,1.517,1.74,"forest|ice canyon|grassy hill","artificial temperate|frozen"
472,"Quantum Radiance Sextant",9215,1.24,0.796,1.16,"forest|acid pool|ocean|rocky island|reef","artic|rocky|tropical"
473,"Astraflame Sextant",522,0.61,1.58,0.73,"reef|desert|lava river|valley|volcano|savanna","artificial temperate|humid|hot|temperate"
